tipo,Até 12h,Até 24h,Até 48h,Até 72h,Até 96h,Até 120h,Até 144h,Até 168h,Até 192h,Até 216h,Até 240h,> 240h,Total,No prazo,Taxa
CAVALETE,18,19,0,0,0,0,0,0,0,0,0,0,37,37,100.00
VAZAMENTO DE ÁGUA,1,19,0,0,0,0,0,0,0,0,0,0,20,20,100.00
VAZAMENTO NÃO VISÍVEL,0,1,0,0,0,0,0,0,0,0,0,0,1,1,100.00
DESOBSTRUÇÕES,2,17,13,4,0,0,0,0,0,0,0,0,36,19,52.78
CRE; TRE,0,10,0,0,0,0,0,0,0,0,0,0,10,10,100.00
CONSERTO DE COLETOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
PA CIM; PI CIM; RET ENTULHO; BASE P/CAPA (12H),0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
PA ESP; PI ESP,0,7,6,6,0,1,5,0,0,0,0,0,25,25,100.00
GUIA; SARJETA; CONCRETO; BLOQUETE; MURO; GRAMA; PARALELO; TROCA DE SOLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
CAPA ASF; CAPA ASF ECOL; ASFALTO; ASFALTO ECOL; SINALIZAÇÃO,0,8,1,0,0,0,0,0,0,0,0,0,9,9,100.00
ATERROS DE VALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
Subtotal,21,81,20,10,0,1,5,0,0,0,0,0,138,121,87.68
