tipo,Até 12h,Até 24h,Até 48h,Até 72h,Até 96h,Até 120h,Até 144h,Até 168h,Até 192h,Até 216h,Até 240h,> 240h,Total,No prazo,Taxa
CAVALETE,15,17,0,0,0,0,0,0,0,0,0,0,32,32,100.00
VAZAMENTO DE ÁGUA,9,22,0,0,0,0,0,0,0,0,0,0,31,31,100.00
VAZAMENTO NÃO VISÍVEL,5,35,0,0,2,2,0,0,0,0,0,0,44,42,95.45
DESOBSTRUÇÕES,7,7,0,0,0,0,0,0,0,0,0,0,14,14,100.00
CRE; TRE,1,4,2,0,0,0,0,0,0,0,0,0,7,7,100.00
CONSERTO DE COLETOR,0,0,1,0,0,0,0,0,0,0,0,0,1,1,100.00
PA CIM; PI CIM; RET ENTULHO; BASE P/CAPA (12H),0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
PA ESP; PI ESP,1,12,6,2,7,3,3,0,0,0,0,0,34,34,100.00
GUIA; SARJETA; CONCRETO; BLOQUETE; MURO; GRAMA; PARALELO; TROCA DE SOLO,0,14,8,4,1,0,0,0,0,0,0,0,27,26,96.30
CAPA ASF; CAPA ASF ECOL; ASFALTO; ASFALTO ECOL; SINALIZAÇÃO,4,25,12,4,1,0,0,0,0,0,0,0,46,45,97.83
ATERROS DE VALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
Subtotal,42,136,29,10,11,5,3,0,0,0,0,0,236,232,98.31
