tipo,Até 12h,Até 24h,Até 48h,Até 72h,Até 96h,Até 120h,Até 144h,Até 168h,Até 192h,Até 216h,Até 240h,> 240h,Total,No prazo,Taxa
CAVALETE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
VAZAMENTO DE ÁGUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
VAZAMENTO NÃO VISÍVEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
DESOBSTRUÇÕES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
CRE; TRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
CONSERTO DE COLETOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
PA CIM; PI CIM; RET ENTULHO; BASE P/CAPA (12H),0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
PA ESP; PI ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
GUIA; SARJETA; CONCRETO; BLOQUETE; MURO; GRAMA; PARALELO; TROCA DE SOLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
CAPA ASF; CAPA ASF ECOL; ASFALTO; ASFALTO ECOL; SINALIZAÇÃO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
ATERROS DE VALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
Subtotal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
