tipo,Até 12h,Até 24h,Até 48h,Até 72h,Até 96h,Até 120h,Até 144h,Até 168h,Até 192h,Até 216h,Até 240h,> 240h,Total,No prazo,Taxa
CAVALETE,3,22,0,0,0,0,0,0,0,0,0,0,25,25,100.00
VAZAMENTO DE ÁGUA,0,17,0,0,0,0,0,0,0,0,0,0,17,17,100.00
VAZAMENTO NÃO VISÍVEL,0,0,7,0,0,0,0,0,0,0,0,0,7,7,100.00
DESOBSTRUÇÕES,2,29,0,0,0,0,0,0,0,0,0,0,31,31,100.00
CRE; TRE,0,5,1,0,0,0,0,0,0,0,0,0,6,6,100.00
CONSERTO DE COLETOR,0,1,0,0,0,0,0,0,0,0,0,0,1,1,100.00
PA CIM; PI CIM; RET ENTULHO; BASE P/CAPA (12H),0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
PA ESP; PI ESP,4,6,12,7,0,0,0,0,0,0,0,0,29,29,100.00
GUIA; SARJETA; CONCRETO; BLOQUETE; MURO; GRAMA; PARALELO; TROCA DE SOLO,2,15,5,3,0,0,0,0,0,0,0,0,25,25,100.00
CAPA ASF; CAPA ASF ECOL; ASFALTO; ASFALTO ECOL; SINALIZAÇÃO,5,24,18,4,0,0,0,0,0,0,0,0,51,51,100.00
ATERROS DE VALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
Subtotal,16,119,43,14,0,0,0,0,0,0,0,0,192,192,100.00
