tipo,Até 12h,Até 24h,Até 48h,Até 72h,Até 96h,Até 120h,Até 144h,Até 168h,Até 192h,Até 216h,Até 240h,> 240h,Total,No prazo,Taxa
CAVALETE,14,41,11,4,12,3,0,0,0,0,0,0,85,55,64.71
VAZAMENTO DE ÁGUA,10,20,14,10,16,9,4,2,0,0,0,0,85,30,35.29
VAZAMENTO NÃO VISÍVEL,0,2,0,0,2,1,1,0,0,0,0,0,6,4,66.67
DESOBSTRUÇÕES,12,28,2,0,0,0,0,0,0,0,0,0,42,40,95.24
CRE; TRE,0,2,0,0,1,3,0,0,0,0,0,0,6,2,33.33
CONSERTO DE COLETOR,0,0,1,0,0,0,2,0,0,0,0,0,3,1,33.33
PA CIM; PI CIM; RET ENTULHO; BASE P/CAPA (12H),1,0,0,0,0,0,0,0,0,0,0,0,1,1,100.00
PA ESP; PI ESP,3,1,1,0,0,4,1,1,2,0,0,0,13,11,84.62
GUIA; SARJETA; CONCRETO; BLOQUETE; MURO; GRAMA; PARALELO; TROCA DE SOLO,1,2,0,0,1,0,2,6,3,0,0,0,15,3,20.00
CAPA ASF; CAPA ASF ECOL; ASFALTO; ASFALTO ECOL; SINALIZAÇÃO,3,10,5,2,12,15,16,6,6,1,0,0,76,20,26.32
ATERROS DE VALA,1,3,0,0,1,2,3,0,1,0,0,0,11,4,36.36
Subtotal,45,109,34,16,45,37,29,15,12,1,0,0,343,171,49.85
