tipo,Até 12h,Até 24h,Até 48h,Até 72h,Até 96h,Até 120h,Até 144h,Até 168h,Até 192h,Até 216h,Até 240h,> 240h,Total,No prazo,Taxa
CAVALETE,20,26,2,0,0,0,0,0,0,0,0,0,48,46,95.83
VAZAMENTO DE ÁGUA,10,15,3,0,0,0,0,0,0,0,0,0,28,25,89.29
VAZAMENTO NÃO VISÍVEL,0,5,5,0,4,2,0,0,0,0,0,0,16,14,87.50
DESOBSTRUÇÕES,10,19,2,0,0,0,0,0,0,0,0,0,31,29,93.55
CRE; TRE,4,4,4,3,0,0,0,0,0,0,0,0,15,12,80.00
CONSERTO DE COLETOR,1,1,1,0,0,1,0,0,0,0,0,0,4,3,75.00
PA CIM; PI CIM; RET ENTULHO; BASE P/CAPA (12H),0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00
PA ESP; PI ESP,2,6,2,3,7,5,2,2,0,0,0,0,29,29,100.00
GUIA; SARJETA; CONCRETO; BLOQUETE; MURO; GRAMA; PARALELO; TROCA DE SOLO,0,4,5,2,1,0,0,0,0,0,0,0,12,11,91.67
CAPA ASF; CAPA ASF ECOL; ASFALTO; ASFALTO ECOL; SINALIZAÇÃO,3,8,16,2,4,0,0,0,0,0,0,0,33,29,87.88
ATERROS DE VALA,0,1,1,0,0,0,0,0,0,0,0,0,2,2,100.00
Subtotal,50,89,41,10,16,8,2,2,0,0,0,0,218,200,91.74
